zip,cnt
10464,37
10470,176
10455,625
10473,612
11234,633
11210,558
11215,401
11224,652
11239,75
10030,318
10037,135
10009,508
10028,183
10065,292
10011,884
10031,541
11355,394
11423,241
11415,82
11358,147
11697,16
11694,114
11004,65
10457,980
10463,494
10454,465
11238,567
11206,1013
11213,829
11226,905
11230,402
10075,145
10025,640
10039,263
10005,66
10044,27
11357,145
11420,415
11691,615
11417,263
11101,475
11418,356
11366,62
11105,195
11426,100
11411,157
10306,202
10302,196
10312,120
11235,502
11205,395
10017,234
10027,794
10032,444
10002,723
10026,357
10128,331
11422,212
11373,659
11372,486
11421,286
11360,85
11436,144
11432,614
11428,145
10301,325
10305,176
10310,176
10458,839
10462,547
10465,304
11372,388
11211,1015
11209,368
11220,628
10033,260
10018,511
10022,480
10023,390
10036,929
11434,633
11378,205
11362,6
10303,227
10461,439
10451,646
10471,143
11223,541
11221,971
11203,777
11232,221
11229,451
11222,345
11212,1055
11207,1380
11237,586
11228,175
10013,426
10029,724
10021,194
10014,620
10006,58
10020,101
10281,20
11429,167
11362,96
11368,759
11412,255
11414,176
11413,385
11416,184
10314,379
10467,998
10458,932
10472,784
11204,297
11216,723
11219,360
11208,1264
11233,1006
11238,487
11225,545
10035,710
10016,533
10012,553
10024,350
11354,437
11419,379
11374,156
11427,131
11377,449
11106,241
11361,155
11365,193
11364,125
10460,671
10451,955
10452,929
10469,474
10475,286
11231,352
11236,857
10004,106
10019,810
10007,146
11385,657
11433,349
11356,111
11375,284
11104,113
10305,314
10309,106
10307,27
10466,681
10459,663
10453,684
10474,230
11214,446
11201,854
11218,364
10034,338
10038,154
10033,465
10001,1075
10003,964
10010,464
11379,138
11367,178
11435,434
11692,177
11103,249
11105,239
11693,126
11369,295
11363,20
10308,66
