"zip","cnt"
"10470",4
"10455",19
"11210",10
"11215",23
"11224",6
"10030",7
"10037",3
"10011",4
"10028",4
"10065",11
"10011",52
"10031",13
"11432",1
"11415",4
"11694",9
"10457",7
"10463",9
"10454",19
"11238",23
"11206",22
"11213",12
"11226",16
"11230",17
"10075",6
"10025",21
"10037",5
"10005",18
"10044",1
"11691",12
"11417",16
"11101",53
"11418",11
"11105",4
"10306",12
"10312",6
"11235",15
"11205",8
"10017",5
"10027",22
"10032",19
"10002",17
"10026",11
"10128",7
"11373",19
"11372",10
"11421",7
"11432",29
"10301",3
"10304",3
"10453",16
"10462",10
"11211",30
"11209",11
"11220",19
"10040",9
"10018",19
"10022",25
"10023",14
"10036",30
"10461",10
"10451",15
"10471",4
"11223",18
"11221",11
"11232",5
"11229",6
"11222",11
"11212",13
"11207",31
"11237",20
"11228",6
"10013",34
"10128",9
"10065",3
"10014",16
"10006",22
"10020",6
"11368",13
"11414",4
"11416",2
"10467",24
"10458",9
"10472",9
"11230",10
"11238",10
"11219",19
"11208",15
"11233",15
"11217",26
"11225",14
"10029",6
"10016",16
"10013",20
"10024",17
"11354",10
"11419",8
"11374",6
"11377",15
"11106",6
"10460",11
"10456",4
"10452",24
"10469",4
"11231",6
"11236",3
"10004",14
"10019",51
"10007",37
"11385",13
"11433",4
"11375",15
"11104",10
"10304",8
"10309",8
"10307",7
"10466",7
"10459",22
"10453",14
"11214",21
"11201",57
"11218",14
"10034",17
"10038",17
"10040",15
"10001",45
"10003",28
"10010",21
"11381",1
"11435",12
"11692",10
"11103",6
"11102",8
"11693",5
"10308",2
