zip_code,population,income,price,crime,metro,avg_income,crime_rate,Borough
10001,21102,1764658,1663,1075,45,83.62515401,0.050943039,Manhattan
10002,81410,1840625,1332,723,17,22.60932318,0.008880973,Manhattan
10003,56024,5576134,1737,964,28,99.53116521,0.017206911,Manhattan
10004,3089,698981,1462,106,14,226.2806734,0.034315312,Manhattan
10005,7135,3658870,1372,66,18,512.8058865,0.009250175,Manhattan
10006,3011,496062,1525,58,22,164.749917,0.019262703,Manhattan
10007,6988,1489310,1980,146,37,213.1239267,0.020892959,Manhattan
10009,61347,2136297,1306,508,0,34.82316984,0.008280764,Manhattan
10010,31834,3235832,1849,464,21,101.647044,0.014575611,Manhattan
10011,50984,6110123,-1,884,4,119.8439314,0.017338773,Manhattan
10012,24090,2448742,-1,553,0,101.6497302,0.022955583,Manhattan
10013,27700,4346730,-1,426,34,156.9216606,0.015379061,Manhattan
10014,31959,4207501,-1,620,16,131.6530868,0.019399856,Manhattan
10016,54183,6156381,-1,533,16,113.6220032,0.009837034,Manhattan
10017,16575,3723087,-1,234,5,224.6206335,0.014117647,Manhattan
10018,5229,2184827,-1,511,19,417.8288392,0.09772423,Manhattan
10019,42870,5955870,-1,810,51,138.9286214,0.018894332,Manhattan
10020,0,-1,-1,101,6,-1,-1,Manhattan
10021,43631,10170458,-1,194,0,233.1016479,0.00444638,Manhattan
10022,31924,8031973,-1,480,25,251.5966984,0.01503571,Manhattan
10023,60998,9262132,-1,390,14,151.843208,0.006393652,Manhattan
10024,59283,8309833,-1,350,17,140.1722754,0.005903885,Manhattan
10025,94600,5674434,1295,640,21,59.98344609,0.006765328,Manhattan
10026,34003,895834,959,357,11,26.3457342,0.010499074,Manhattan
10027,59707,1255215,-1,794,22,21.02291189,0.013298273,Manhattan
10028,45141,7499720,-1,183,4,166.1398728,0.004053964,Manhattan
10029,76003,1498844,896,724,6,19.72085312,0.00952594,Manhattan
10030,26999,442664,647,318,7,16.39557021,0.011778214,Manhattan
10031,56438,941517,782,541,13,16.68232397,0.00958574,Manhattan
10032,57331,939512,-1,444,19,16.38750414,0.007744501,Manhattan
10033,53926,1039758,-1,260,0,19.28120016,0.004821422,Manhattan
10034,38908,730471,-1,338,17,18.77431377,0.008687159,Manhattan
10035,33969,539312,-1,710,0,15.87659336,0.02090141,Manhattan
10036,24711,3094898,1626,929,30,125.2437376,0.037594594,Manhattan
10037,17416,414988,-1,135,3,23.82797428,0.007751493,Manhattan
10038,20300,1152628,1274,154,17,56.77970443,0.007586207,Manhattan
10039,24527,434461,-1,263,0,17.71358095,0.010722877,Manhattan
10040,41905,763006,-1,0,9,18.20799427,0,Manhattan
10044,11661,334528,-1,27,1,28.68776263,0.00231541,Manhattan
10065,32270,5673429,-1,292,11,175.8112488,0.009048652,Manhattan
10075,26121,4891555,-1,145,6,187.2652272,0.005551089,Manhattan
10128,60453,9248949,-1,331,7,152.994045,0.005475328,Manhattan
10280,7853,681788,1154,0,0,86.81879536,0,Manhattan
10301,39706,1060112,292,325,3,26.69903793,0.008185161,Staten Island
10302,19088,351169,244,196,0,18.39737008,0.010268231,Staten Island
10303,26337,475577,214,227,0,18.05737176,0.008619053,Staten Island
10304,42193,1106371,268,0,3,26.22167184,0,Staten Island
10305,41749,1063397,276,176,0,25.47119691,0.00421567,Staten Island
10306,55909,1710838,302,202,12,30.60040423,0.003613014,Staten Island
10307,14096,495561,286,27,7,35.15614359,0.001915437,Staten Island
10308,27357,887964,300,66,2,32.45838359,0.002412545,Staten Island
10309,32519,1085288,252,106,8,33.37396599,0.003259633,Staten Island
10310,24962,593078,274,176,0,23.75923404,0.007050717,Staten Island
10312,59304,2095156,268,120,6,35.32908404,0.002023472,Staten Island
10314,85510,2474400,272,379,0,28.93696644,0.00443223,Staten Island
10451,45713,631047,-1,646,15,13.80454138,0.014131647,Bronx
10452,75371,880419,-1,929,24,11.68113731,0.012325696,Bronx
10453,78309,893387,-1,684,16,11.40848434,0.008734628,Bronx
10454,37337,342812,-1,465,19,9.181562525,0.012454134,Bronx
10455,39665,409001,-1,625,19,10.31138283,0.015756965,Bronx
10456,86547,937025,211,0,4,10.8267762,0,Bronx
10457,70496,758321,217,980,7,10.75693656,0.013901498,Bronx
10458,79492,843375,-1,839,9,10.60955819,0.010554521,Bronx
10459,47308,551603,174,663,22,11.65982498,0.014014543,Bronx
10460,57311,619875,-1,671,11,10.81598646,0.011708049,Bronx
10461,50502,1034941,260,439,10,20.49306958,0.008692725,Bronx
10462,75784,1416468,160,547,10,18.69085823,0.007217882,Bronx
10463,67970,1819861,-1,494,9,26.77447403,0.007267912,Bronx
10464,4534,154161,339,37,0,34.00110278,0.008160565,Bronx
10465,42230,1038556,268,304,0,24.59284869,0.007198674,Bronx
10466,67813,1074029,240,681,7,15.83809889,0.010042322,Bronx
10467,97060,1315911,-1,998,24,13.55770657,0.0102823,Bronx
10468,76103,983160,-1,0,0,12.91880741,0,Bronx
10469,66631,1254721,232,474,4,18.83088953,0.007113806,Bronx
10470,15293,326757,-1,176,4,21.36644216,0.011508533,Bronx
10471,22922,1043382,-1,143,4,45.5188029,0.006238548,Bronx
10472,66358,725597,-1,784,9,10.93458212,0.011814702,Bronx
10473,58519,979219,231,612,0,16.73335156,0.010458142,Bronx
10474,12281,115960,-1,230,0,9.442227832,0.018728117,Bronx
10475,40931,934806,-1,286,0,22.838582,0.006987369,Bronx
11004,14016,402259,476,65,0,28.69998573,0.004637557,Queens
11005,1806,165894,-1,0,0,91.85714286,0,Queens
11101,25484,752148,-1,475,53,29.51451891,0.018639146,Queens
11102,34133,785433,-1,0,8,23.01095714,0,Queens
11103,38780,851099,595,249,6,21.94685405,0.006420835,Queens
11104,27232,682268,-1,113,10,25.05390717,0.00414953,Queens
11105,36688,918443,516,195,4,25.03388029,0.005315089,Queens
11106,38875,919635,589,241,6,23.65620579,0.006199357,Queens
11201,51128,4212181,1072,854,57,82.38501408,0.016703176,Brooklyn
11203,76174,1292232,277,777,0,16.96421351,0.010200331,Brooklyn
11204,78134,1457111,467,297,0,18.64887245,0.003801162,Brooklyn
11205,40366,880093,566,395,8,21.80282911,0.009785463,Brooklyn
11206,81677,1008639,-1,1013,22,12.34911909,0.012402512,Brooklyn
11207,93386,1141741,302,1380,31,12.22604031,0.014777376,Brooklyn
11208,94469,1139684,290,1264,15,12.06410569,0.013380051,Brooklyn
11209,68853,2177089,555,368,11,31.61937751,0.00534472,Brooklyn
11210,62008,1694790,412,558,10,27.3317959,0.008998839,Brooklyn
11211,90117,1430155,-1,1015,30,15.86998014,0.011263136,Brooklyn
11212,84500,1004941,270,1055,13,11.8927929,0.012485207,Brooklyn
11213,63767,889982,445,829,12,13.95678015,0.013000455,Brooklyn
11214,88630,1476012,463,446,21,16.65363872,0.005032156,Brooklyn
11215,63488,3510702,979,401,23,55.29709551,0.006316154,Brooklyn
11216,54316,924734,-1,723,0,17.02507548,0.013310995,Brooklyn
11217,35881,1614210,1008,0,26,44.98787659,0,Brooklyn
11218,75220,1439659,605,364,14,19.13931135,0.004839139,Brooklyn
11219,92221,1176800,-1,360,19,12.76065104,0.003903666,Brooklyn
11220,99598,1236294,594,628,19,12.41283962,0.006305347,Brooklyn
11221,78895,1024645,514,971,11,12.98745168,0.012307497,Brooklyn
11222,36934,1169298,1013,345,11,31.65912168,0.009340987,Brooklyn
11223,78731,1807640,529,541,18,22.95969821,0.006871499,Brooklyn
11224,47621,699393,374,652,6,14.68665085,0.013691439,Brooklyn
11225,56829,1095064,588,545,14,19.2694575,0.009590174,Brooklyn
11226,101572,1586286,470,905,16,15.61735518,0.008909936,Brooklyn
11228,41788,1029278,535,175,6,24.63094668,0.004187805,Brooklyn
11229,80018,1788379,407,451,6,22.34970882,0.005636232,Brooklyn
11230,86408,1998084,506,402,17,23.12383113,0.004652347,Brooklyn
11231,33336,1582663,1002,352,6,47.47609191,0.010559155,Brooklyn
11232,28265,383857,633,221,5,13.58064744,0.007818857,Brooklyn
11233,67053,914273,495,1006,15,13.63507971,0.015003057,Brooklyn
11234,87757,2288358,362,633,0,26.0760737,0.0072131,Brooklyn
11235,79132,1903926,491,502,15,24.06012738,0.006343831,Brooklyn
11236,93877,1790380,305,857,3,19.07155107,0.009128967,Brooklyn
11237,49896,590083,-1,586,20,11.82625862,0.011744428,Brooklyn
11238,49262,1792263,919,567,23,36.38226219,0.011509886,Brooklyn
11239,13393,235674,-1,75,0,17.5968043,0.00559994,Brooklyn
11354,54878,953897,497,437,10,17.38213856,0.007963118,Queens
11355,85871,1240366,483,394,0,14.44452726,0.004588278,Queens
11356,23438,451063,435,111,0,19.24494411,0.004735899,Queens
11357,39150,1409042,522,145,0,35.99085568,0.003703704,Queens
11358,37546,936393,474,147,0,24.93988707,0.003915197,Queens
11359,0,-1,-1,0,0,-1,-1,Queens
11360,18884,772189,485,85,0,40.89117772,0.004501165,Queens
11361,28606,810753,510,155,0,28.34206111,0.005418444,Queens
11362,17823,604640,497,6,0,33.92470403,0.000336644,Queens
11363,6988,355595,544,20,0,50.88651975,0.002862049,Queens
11364,34555,1035265,510,125,0,29.95991897,0.003617422,Queens
11365,42252,1020905,484,193,0,24.16228818,0.004567831,Queens
11366,13532,401878,509,62,0,29.69834466,0.004581732,Queens
11367,41047,984217,405,178,0,23.97780593,0.004336492,Queens
11368,109931,1165306,486,759,13,10.60034021,0.006904331,Queens
11369,38615,542296,372,295,0,14.04366179,0.007639518,Queens
11370,39688,491125,-1,0,0,12.37464725,0,Queens
11372,66636,1274752,400,486,10,19.13007984,0.007293355,Queens
11373,100820,1421394,445,659,19,14.09833366,0.006536402,Queens
11374,43600,1146082,452,156,6,26.2862844,0.003577982,Queens
11375,68733,2755827,539,284,15,40.09467068,0.004131931,Queens
