ZIP code,Adjusted gross income (AGI),year
00000,658574858,2011
10001,1764658,2011
10002,1840625,2011
10003,5576134,2011
10004,698981,2011
10005,3658870,2011
10006,496062,2011
10007,1489310,2011
10009,2136297,2011
10010,3235832,2011
10011,6110123,2011
10012,2448742,2011
10013,4346730,2011
10014,4207501,2011
10016,6156381,2011
10017,3723087,2011
10018,2184827,2011
10019,5955870,2011
10021,10170458,2011
10022,8031973,2011
10023,9262132,2011
10024,8309833,2011
10025,5674434,2011
10026,895834,2011
10027,1255215,2011
10028,7499720,2011
10029,1498844,2011
10030,442664,2011
10031,941517,2011
10032,939512,2011
10033,1039758,2011
10034,730471,2011
10035,539312,2011
10036,3094898,2011
10037,414988,2011
10038,1152628,2011
10039,434461,2011
10040,763006,2011
10044,334528,2011
10065,5673429,2011
10069,1060915,2011
10075,4891555,2011
10128,9248949,2011
10162,156579,2011
10280,681788,2011
10282,941279,2011
10301,1060112,2011
10302,351169,2011
10303,475577,2011
10304,1106371,2011
10305,1063397,2011
10306,1710838,2011
10307,495561,2011
10308,887964,2011
10309,1085288,2011
10310,593078,2011
10312,2095156,2011
10314,2474400,2011
10451,631047,2011
10452,880419,2011
10453,893387,2011
10454,342812,2011
10455,409001,2011
10456,937025,2011
10457,758321,2011
10458,843375,2011
10459,551603,2011
10460,619875,2011
10461,1034941,2011
10462,1416468,2011
10463,1819861,2011
10464,154161,2011
10465,1038556,2011
10466,1074029,2011
10467,1315911,2011
10468,983160,2011
10469,1254721,2011
10470,326757,2011
10471,1043382,2011
10472,725597,2011
10473,979219,2011
10474,115960,2011
10475,934806,2011
10501,92077,2011
10502,373885,2011
10504,2200227,2011
10505,58106,2011
10506,961752,2011
10507,412745,2011
10509,785805,2011
10510,1215057,2011
10511,75532,2011
10512,950177,2011
10514,2106465,2011
10516,258142,2011
10518,111181,2011
10520,715116,2011
10522,633882,2011
10523,320918,2011
10524,303565,2011
10526,132367,2011
10527,57870,2011
10528,1268512,2011
10530,782399,2011
10532,218405,2011
10533,785857,2011
10535,21173,2011
10536,1193338,2011
10537,70351,2011
10538,2513053,2011
10541,983814,2011
10543,1391945,2011
10546,132650,2011
10547,256855,2011
10548,117164,2011
10549,1463965,2011
10550,633901,2011
10552,719180,2011
10553,254274,2011
10560,378655,2011
10562,1148606,2011
10566,607827,2011
10567,923255,2011
10570,892979,2011
10573,1554546,2011
10576,640833,2011
10577,1074834,2011
10578,34979,2011
10579,363864,2011
10580,3773019,2011
10583,6551793,2011
10588,97196,2011
10589,502773,2011
10590,476880,2011
10591,1297582,2011
10594,241388,2011
10595,343853,2011
10597,147807,2011
10598,1416986,2011
10601,714715,2011
10603,715689,2011
10604,628038,2011
10605,1320776,2011
10606,578933,2011
10607,315383,2011
10701,1193013,2011
10703,496920,2011
10704,921623,2011
10705,762948,2011
10706,616471,2011
10707,487411,2011
10708,2513623,2011
10709,530168,2011
10710,954615,2011
10801,1095414,2011
10803,1129277,2011
10804,1421641,2011
10805,575224,2011
10901,1111347,2011
10913,286046,2011
10916,171964,2011
10917,87557,2011
10918,393471,2011
10919,36056,2011
10920,343338,2011
10921,147886,2011
10923,274249,2011
10924,497940,2011
10925,157757,2011
10926,123493,2011
10927,229723,2011
10928,114270,2011
10930,354512,2011
10931,25003,2011
10940,1099695,2011
10941,378200,2011
10950,1073660,2011
10952,946097,2011
10954,912655,2011
10956,1664669,2011
10958,98694,2011
10960,710732,2011
10962,274281,2011
10963,72084,2011
10964,122751,2011
10965,644142,2011
10968,144249,2011
10969,36913,2011
10970,388567,2011
10973,73838,2011
10974,120179,2011
10975,9182,2011
10976,52105,2011
10977,1224249,2011
10980,523785,2011
10983,265355,2011
10984,100220,2011
10985,11696,2011
10986,74023,2011
10987,290007,2011
10989,400322,2011
10990,904900,2011
10992,330290,2011
10993,104501,2011
10994,425823,2011
10996,72425,2011
10998,102805,2011
11001,1066389,2011
11003,1070319,2011
11004,402259,2011
11005,165894,2011
11010,800185,2011
11020,465409,2011
11021,1374167,2011
11023,572161,2011
11024,830741,2011
11030,2638636,2011
11040,1789402,2011
11050,2550370,2011
11096,133232,2011
11101,752148,2011
11102,785433,2011
11103,851099,2011
11104,682268,2011
11105,918443,2011
11106,919635,2011
11109,296329,2011
11201,4212181,2011
11203,1292232,2011
11204,1457111,2011
11205,880093,2011
11206,1008639,2011
11207,1141741,2011
11208,1139684,2011
11209,2177089,2011
11210,1694790,2011
11211,1430155,2011
11212,1004941,2011
11213,889982,2011
11214,1476012,2011
11215,3510702,2011
11216,924734,2011
11217,1614210,2011
11218,1439659,2011
11219,1176800,2011
11220,1236294,2011
11221,1024645,2011
11222,1169298,2011
11223,1807640,2011
11224,699393,2011
11225,1095064,2011
11226,1586286,2011
11228,1029278,2011
11229,1788379,2011
11230,1998084,2011
11231,1582663,2011
11232,383857,2011
11233,914273,2011
11234,2288358,2011
11235,1903926,2011
11236,1790380,2011
11237,590083,2011
11238,1792263,2011
11239,235674,2011
11354,953897,2011
11355,1240366,2011
11356,451063,2011
11357,1409042,2011
11358,936393,2011
11360,772189,2011
11361,810753,2011
11362,604640,2011
11363,355595,2011
11364,1035265,2011
11365,1020905,2011
11366,401878,2011
11367,984217,2011
11368,1165306,2011
11369,542296,2011
11370,491125,2011
11372,1274752,2011
11373,1421394,2011
11374,1146082,2011
11375,2755827,2011
11377,1530032,2011
11378,777966,2011
11379,1010389,2011
11385,1791210,2011
11411,491099,2011
11412,704992,2011
11413,893148,2011
11414,774280,2011
11415,527211,2011
11416,361439,2011
11417,546134,2011
11418,625652,2011
11419,726811,2011
11420,774780,2011
11421,691448,2011
11422,692049,2011
11423,623483,2011
11426,504462,2011
11427,601664,2011
11428,433963,2011
11429,496960,2011
11430,9162,2011
11432,1097124,2011
11433,481267,2011
11434,1174304,2011
11435,919179,2011
11436,314322,2011
11501,724906,2011
11507,374744,2011
11509,240146,2011
11510,1183405,2011
11514,177923,2011
11516,365702,2011
11518,476273,2011
11520,1092040,2011
11530,2702938,2011
11542,965744,2011
11545,1632893,2011
11548,69821,2011
11550,1024141,2011
11552,847726,2011
11553,537924,2011
11554,1374192,2011
11557,691186,2011
11558,278075,2011
11559,839302,2011
11560,865319,2011
11561,1682972,2011
